id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link
107,6/27/07,,SA,Ecuador,EC,Pichincha,5114,Sangolquí,33.94603,,-0.356,-78.148,"(-0.35599999999999998, -78.147999999999996)",Landslide,Landslide,Medium,Downpour,,,,Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2908
109,7/1/07,,NA,United States,US,Texas,42409,Haltom City,0.03668,,32.7995,-97.2688,"(32.799500000000002, -97.268799999999999)",Landslide,Landslide,Medium,Rain,,,,NBC5i.com,http://www.nbc5i.com/news/13604036/detail.html
115,7/4/07,,NA,Mexico,MX,Veracruz-Llave,1947,Laguna Chica (Pueblo Nuevo),9.51003,,18.5369,-96.8229,"(18.536899999999999, -96.822900000000004)",Landslide,Landslide,Medium,Rain,,,7,nytimes.com,http://www.nytimes.com/2007/07/04/world/americas/04cnd-mexico.html?_r=1&hp&oref=slogin
119,7/8/07,,NA,Canada,CA,Ontario,812129,Ottawa,1.74759,,45.4257,-75.6896,"(45.425699999999999, -75.689599999999999)",Landslide,Landslide,Small,Unknown,,,,,http://www.cfra.com/headlines/index.asp?cat=1&nid=50672
124,7/13/07,Night,NA,Dominican Republic,DO,Distrito Nacional,13456,San Carlos,1.70298,,18.4757,-69.914,"(18.4757, -69.914000000000001)",Landslide,Landslide,Small,Unknown,,,,Dominican Today,http://www.dominicantoday.com/app/article.aspx?id=24682
138,7/24/07,,NA,United States,US,Texas,175396,Grand Prairie,5.66936,,32.7883,-97.0317,"(32.7883, -97.031700000000001)",Landslide,Landslide,Small,Rain,,,,Trinity River Authority - Grand Prarie Times,http://www.gptimes.com/?story_20070627130646_story&pg7pg&storycat_GrandPrairie0_storycat
165,8/9/07,,NA,Guatemala,GT,Guatemala,47247,San José Pinula,4.74385,,14.5667,-90.45,"(14.566700000000001, -90.45)",Landslide,Mudslide,Medium,Rain,,,5,International Herald,http://www.iht.com/articles/ap/2007/08/09/america/LA-GEN-Guatemala-Deadly-Mudslide.php
174,8/11/07,,NA,Jamaica,JM,Portland,14400,Port Antonio,7.79027,,18.1258,-76.5082,"(18.125800000000002, -76.508200000000002)",Landslide,Landslide,Medium,Rain,,,,Jamaica Gleaner,http://www.jamaica-gleaner.com/gleaner/20070812/lead/lead2.html
185,8/14/07,,NA,United States,US,Colorado,2475,Meeker,10.87949,,39.9425,-107.8818,"(39.942500000000003, -107.8818)",Landslide,Mudslide,Medium,Rain,,,,Telluride Daily Planet,http://www.telluridegateway.com/articles/2007/08/16/news/news02.txt
186,8/17/07,,NA,Dominica,DM,Saint Paul,702,Pont Cassé,3.39516,,15.3379,-61.361,"(15.337899999999999, -61.360999999999997)",Landslide,Mudslide,Small,Tropical cyclone,Hurricane Dean,,2,Tribune India,http://www.tribuneindia.com/2007/20070817/himachal.htm
187,8/18/07,,NA,United States,US,Minnesota,2868,Caledonia,22.31062,,43.596,-91.2256,"(43.595999999999997, -91.2256)",Landslide,Landslide,Medium,Rain,,,,The Sun Times,"http://www.suntimes.com/news/nation/516414,19flooding.article"
188,8/18/07,,NA,United States,US,Wyoming,9520,Cody,64.74594,,44.4659,-109.8662,"(44.465899999999998, -109.86620000000001)",Landslide,Landslide,Small,Rain,,,,Billings Gazette,http://www.billingsgazette.net/articles/2007/08/19/news/wyoming/38-mudslide.txt
189,8/18/07,,NA,United States,US,Minnesota,106769,Rochester,0.9999,,44.0304,-92.4671,"(44.0304, -92.467100000000002)",Landslide,Mudslide,Small,Rain,,,,Post bulletin.com,http://www.postbulletin.com/newsmanager/templates/localnews_story.asp?a=304463&z=2
193,8/19/07,,NA,United States,US,Wisconsin,51320,La Crosse,13.62525,,43.6796,-91.2194,"(43.679600000000001, -91.219399999999993)",Landslide,Complex,Medium,Rain,,,,LaCrosse Tribune.com,http://www.lacrossetribune.com/articles/2007/08/20/news/03hwy35.txt
194,8/19/07,,NA,United States,US,Wisconsin,51320,La Crosse,12.91337,,43.689,-91.2806,"(43.689, -91.280600000000007)",Landslide,Mudslide,Medium,Rain,,,,FOX news,http://www.fox23news.com/news/national/story.aspx?content_id=1461f8d9-26cc-4316-9924-59f5baeaba9c
197,8/20/07,,NA,United States,US,West Virginia,1526,Glendale,3.492,,39.958,-80.7935,"(39.957999999999998, -80.793499999999995)",Landslide,Mudslide,Small,Rain,,,,WTOV9.com,http://www.wtov9.com/news/13943449/detail.html
198,8/21/07,,NA,Guatemala,GT,Alta Verapaz,2006,Lanquín,13.39817,,15.6046,-90.0853,"(15.6046, -90.085300000000004)",Landslide,Landslide,Medium,Tropical cyclone,Hurricane Dean,,,United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/EDIS-76BSG6?OpenDocument
199,8/21/07,,NA,Guatemala,GT,Izabal,18994,Morales,12.55184,,15.5163,-88.9286,"(15.516299999999999, -88.928600000000003)",Landslide,Landslide,Medium,Tropical cyclone,Hurricane Dean,,,United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/EDIS-76BSG6?OpenDocument
201,8/23/07,,NA,Mexico,MX,Puebla,1414,Xochitlaxco (San Baltazar),1.68294,,19.9333,-97.85,"(19.933299999999999, -97.85)",Landslide,Mudslide,Medium,Tropical cyclone,Hurricane Dean,,6,Inquirer.com,http://newsinfo.inquirer.net/breakingnews/world/view_article.php?article_id=84452
224,9/1/07,,NA,Trinidad and Tobago,TT,Tobago,17000,Scarborough,9.11607,,11.2415,-60.6742,"(11.2415, -60.674199999999999)",Landslide,Landslide,Medium,Tropical cyclone,Hurricane Felix,,,Trinadad Express,http://www.trinidadexpress.com/index.pl/article_news?id=161197580
225,9/2/07,,NA,Mexico,MX,Sinaloa,3191,El Limón de los Ramos,10.88351,,24.9531,-107.622,"(24.953099999999999, -107.622)",Landslide,Complex,Medium,Tropical cyclone,Tropical Storm Henrietta,,3,,
228,9/3/07,,NA,United States,US,New Mexico,1788,Jemez Pueblo,12.89915,,35.7297,-106.713,"(35.729700000000001, -106.71299999999999)",Landslide,Mudslide,Medium,Rain,,,,,
229,9/4/07,,NA,Nicaragua,NI,Atlántico Norte,6315,Bonanza,54.90196,,13.667,-84.2435,"(13.667, -84.243499999999997)",Landslide,Complex,Medium,Tropical cyclone,Hurricane Felix,,,United Nations Development Programme - Relief Web,http://www.reliefweb.int/
230,9/5/07,,NA,El Salvador,SV,Ahuachapán,7797,Concepción de Ataco,0.00273,,13.8703,-89.8486,"(13.8703, -89.848600000000005)",Landslide,Mudslide,Medium,Tropical cyclone,Hurricane Felix,,,Azcentral.com,http://www.azcentral.com/news/articles/1108sr-fhsistercity1109-ON.html
235,9/5/07,,NA,United States,US,Wyoming,1176,Hoback,9.42463,,43.2046,-110.8317,"(43.204599999999999, -110.8317)",Landslide,Landslide,Medium,Rain,,,,,
236,9/5/07,,NA,United States,US,Idaho,2689,Ketchum,4.51471,,43.6846,-114.4194,"(43.684600000000003, -114.4194)",Landslide,Mudslide,Medium,Rain,,,,,
238,9/6/07,,NA,United States,US,Colorado,12088,Steamboat Springs,2.63588,,40.4613,-106.8295,"(40.461300000000001, -106.8295)",Landslide,Mudslide,Small,Rain,,,,Craigdailypress.com,http://www.craigdailypress.com/news/2007/sep/08/news_mudslide/
249,9/9/07,,NA,Costa Rica,CR,Heredia,21947,Heredia,0.26208,,10,-84.1167,"(10, -84.116699999999994)",Landslide,Landslide,Medium,Rain,,,,ticotimes.net,http://www.ticotimes.net/dailyarchive/2007_09/0911072.htm
250,9/9/07,,NA,Dominica,DM,Saint George,16571,Roseau,2.59849,,15.3055,-61.3642,"(15.3055, -61.364199999999997)",Landslide,Landslide,Medium,Rain,Tropical Wave,,,RadioJamaica,http://www.radiojamaica.com/content/view/1156/88/
268,9/17/07,,NA,United States,US,Colorado,4518,New Castle,4.25758,,39.5542,-107.5798,"(39.554200000000002, -107.57980000000001)",Landslide,Mudslide,Medium,Rain,,,,KJCT news,http://kjct8.com/Global/story.asp?S=7085534
277,9/22/07,,NA,Guatemala,GT,Guatemala,994938,Guatemala City,2.79113,,14.6229,-90.5316,"(14.6229, -90.531599999999997)",Landslide,Mudslide,Medium,Rain,,,3,Fox News,"http://www.foxnews.com/story/0,2933,297714,00.html"
284,9/28/07,,NA,Mexico,MX,Puebla,3761,Xaltepuxtla,7.93258,,20.2,-97.9,"(20.2, -97.9)",Landslide,Mudslide,Medium,Tropical cyclone,Hurricane Lorenzo,,1,PressTV.ir,http://www.presstv.ir/detail.aspx?id=25037&sectionid=3510207
297,10/8/07,,NA,Haiti,HT,Artibonite,7294,Gros Morne,8.70343,,19.699,-72.754,"(19.699000000000002, -72.754000000000005)",Landslide,Landslide,Medium,Downpour,,,,,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=3285
299,10/9/07,,NA,Costa Rica,CR,San José,3072,San Ignacio,4.57763,,9.7789,-84.125,"(9.7789000000000001, -84.125)",Landslide,Complex,Medium,Rain,,,4,ticotimes.net,http://www.ticotimes.net/dailyarchive/2007_10/1010071.htm
301,10/11/07,,NA,Costa Rica,CR,Alajuela,7014,Atenas,3.08459,,9.9869,-84.407,"(9.9869000000000003, -84.406999999999996)",Landslide,Mudslide,Large,Rain,,,14,"Agence France-Presse, afp.google.com",http://afp.google.com/article/ALeqM5hu6a8oyAM1ycq9nU_6Zyj_l7F0AA
302,10/11/07,,NA,Costa Rica,CR,San José,26669,,9.56251,,10.0214,-83.9451,"(10.0214, -83.945099999999996)",Landslide,Landslide,Large,Rain,,,10,International Herald,http://www.iht.com/articles/ap/2007/10/12/america/LA-GEN-Costa-Rica-Mudslide.php
303,10/12/07,,NA,Haiti,HT,Ouest,3951,Cabaret,0.51272,,18.7335,-72.4133,"(18.733499999999999, -72.413300000000007)",Landslide,Complex,Large,Rain,,,23,Euronews.net,http://www.euronews.net/index.php?page=info&article=448067&lng=1
304,10/12/07,,NA,Jamaica,JM,St. Elizabeth,1371,Maggotty,4.57363,,18.1257,-77.7405,"(18.125699999999998, -77.740499999999997)",Landslide,Complex,Medium,Rain,,,,RadioJamaica,http://www.radiojamaica.com/content/view/2039/26/
307,10/13/07,,SA,Colombia,CO,Cauca,9985,Suárez,8.46579,,2.9437,-76.7719,"(2.9437000000000002, -76.771900000000002)",Landslide,Mudslide,Large,Continuous rain,,,24,Reuters - AlertNet.org,http://www.reuters.com/article/newsOne/idUSN1329387220071013
314,10/17/07,,NA,Jamaica,JM,Saint Thomas,2382,Bath,0.21825,,17.95,-76.35,"(17.95, -76.349999999999994)",Landslide,Mudslide,Medium,Rain,,,,RadioJamaica,http://www.radiojamaica.com/content/view/2193/26/
323,10/24/07,,NA,Costa Rica,CR,Puntarenas,6540,Miramar,3.82425,Mine construction,10.0715,-84.7575,"(10.0715, -84.757499999999993)",Landslide,Mudslide,Medium,Downpour,,,,Reuters - AlertNet.org,http://www.reuters.com/article/companyNewsAndPR/idUSN2435152820071025
333,10/29/07,,NA,Dominican Republic,DO,San Cristóbal,66784,Bajos de Haina,1.72138,,18.427,-70.044,"(18.427, -70.043999999999997)",Landslide,Mudslide,Medium,Tropical cyclone,Tropical Storm Noel,,3,United Nations Development Programme - Relief Web,http://news.scotsman.com/international.cfm?id=1730152007
334,10/29/07,,NA,Haiti,HT,Ouest,1234742,Port-au-Prince,2.72168,,18.5146,-72.3361,"(18.514600000000002, -72.336100000000002)",Landslide,Complex,Medium,Tropical cyclone,Tropical Storm Noel,,,ABC news,http://www.abcnews.go.com/International/wireStory?id=3807131
339,10/31/07,,NA,Jamaica,JM,Saint Thomas,2634,Easington,6.5194,,17.9384,-76.6479,"(17.938400000000001, -76.647900000000007)",Landslide,Landslide,Medium,Tropical cyclone,Tropical Storm Noel,,1,RadioJamaica,http://www.radiojamaica.com/content/view/2583/26/
340,10/31/07,,NA,Jamaica,JM,Saint Catherine,4085,Riversdale,5.46381,,18.2152,-76.9659,"(18.215199999999999, -76.965900000000005)",Landslide,Complex,Medium,Rain,,,,RadioJamaica,http://www.radiojamaica.com/content/view/2933/26/
341,10/31/07,,NA,Jamaica,JM,Saint Andrew,1088,Gordon Town,0.96514,,18.037,-76.7088,"(18.036999999999999, -76.708799999999997)",Landslide,Landslide,Medium,Tropical cyclone,Tropical Storm Noel,,,Jamaica Observer,http://www.jamaicaobserver.com/news/html/20071101T010000-0500_128916_OBS_DEADLY_RAIN.asp
342,10/31/07,,NA,Mexico,MX,Tabasco,4468,Buenavista,4.19108,,17.9493,-92.5534,"(17.949300000000001, -92.553399999999996)",Landslide,Landslide,Medium,Rain,,,18,CapeTimes,http://www.capetimes.co.za/?fArticleId=4109453
343,11/1/07,,NA,Dominican Republic,DO,La Vega,3613,Río Verde Abajo,3.72637,,19.305,-70.6,"(19.305, -70.599999999999994)",Landslide,Complex,Large,Tropical cyclone,Tropical Storm Noel,,68,United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/fullMaps_Am.nsf/luFullMap/CEB72F0756431A7CC125738D003E2EF4/$File/ifrc_TC_carib071108.pdf?OpenElement
346,11/4/07,,NA,Mexico,MX,Chiapas,3183,Ostuacán,3.74149,,17.39,-93.306,"(17.39, -93.305999999999997)",Landslide,Mudslide,Very_large,Rain,,,5,Reuters - AlertNet.org,http://news.monstersandcritics.com/americas/news/article_1371436.php/Mudslide_is_latest_disaster_for_hard-hit_Mexico__2nd_Roundup_
354,11/12/07,,NA,Jamaica,JM,Saint Ann,13671,Saint Annнўд‰ед‹ўs Bay,3.96533,,18.4,-77.2,"(18.399999999999999, -77.2)",Landslide,Landslide,Medium,Rain,,,,Jamaica Gleaner,http://www.jamaica-gleaner.com/gleaner/20071113/news/news1.html
357,11/17/07,,NA,Trinidad and Tobago,TT,Eastern Tobago,0,Roxborough,7.33295,,11.2965,-60.6312,"(11.2965, -60.6312)",Landslide,Landslide,Medium,Rain,,,,Trinadad Express,http://www.trinidadexpress.com/index.pl/article_news?id=161237574
376,11/30/07,,NA,United States,US,California,3117,Rancho Santa Fe,6.48824,,33.0409,-117.1378,"(33.040900000000001, -117.1378)",Landslide,Debris flow,Small,Rain,,,,Signon San Diego.com,http://www.signonsandiego.com/news/metro/20071130-1627-bn30rain6.html
386,12/8/07,,NA,United States,US,Indiana,5042,Lawrenceburg,2.66572,,39.101,-84.822,"(39.100999999999999, -84.822000000000003)",Landslide,Landslide,Medium,Rain,,,,Kentucky Post.com,http://news.nky.com/apps/pbcs.dll/article?AID=/AE/20071210/NEWS02/712100367/1011/news0103
388,12/11/07,,NA,Dominican Republic,DO,Santiago,1200000,Santiago de los Caballeros,1.10868,,19.455,-70.707,"(19.454999999999998, -70.706999999999994)",Landslide,Landslide,Medium,Tropical cyclone,Tropical Storm Olga,,17,news.gossip.info,http://clutchmagonline.com/newsgossipinfo/caribbean-storm-death-toll-rises/
390,12/11/07,,NA,Trinidad and Tobago,TT,Sangre Grande,15968,Sangre Grande,29.28864,,10.841,-61.055,"(10.840999999999999, -61.055)",Landslide,Landslide,Medium,Tropical cyclone,Tropical Storm Olga,,3,Trinidad and Tobago's Newsday,"http://www.newsday.co.tt/news/0,69681.html"
391,12/11/07,,NA,Trinidad and Tobago,TT,Eastern Tobago,0,Roxborough,8.62938,,11.3,-60.644,"(11.3, -60.643999999999998)",Landslide,Landslide,Medium,Tropical cyclone,Tropical Storm Olga,,,Trinidad and Tobago's Newsday,"http://www.newsday.co.tt/news/0,69681.html"
392,12/11/07,,NA,Trinidad and Tobago,TT,Eastern Tobago,0,Roxborough,2.66802,,11.267,-60.566,"(11.266999999999999, -60.566000000000003)",Landslide,Landslide,Small,Tropical cyclone,Tropical Storm Olga,,,Trinidad and Tobago's Newsday,"http://www.newsday.co.tt/news/0,69681.html"
393,12/12/07,,NA,Puerto Rico,PR,San Juan,418140,San Juan,6.91777,,18.432,-66.051,"(18.431999999999999, -66.051000000000002)",Landslide,Landslide,Medium,Tropical cyclone,Tropical Storm Olga,,,AP.google.com,http://ap.google.com/article/ALeqM5gVWjsPEiqe1tEu2mhBIRaxxGi8owD8TFVR600
396,12/16/07,,NA,United States,US,Pennsylvania,3174,Trafford,0.27058,,40.3875,-79.7569,"(40.387500000000003, -79.756900000000002)",Landslide,Landslide,Medium,Rain,,,3,Pittsburgh Post Gazette,http://www.post-gazette.com/pg/07352/842521-59.stm
397,12/19/07,,SA,Colombia,CO,Tolima,4892,Ambalema,6.9613,,4.847,-74.7631,"(4.8470000000000004, -74.763099999999994)",Landslide,Landslide,Large,Rain,,,,Indiamuslims.info,http://www.indiamuslims.info/news/2007/dec/20/eight_people_rescued_colombian_landslide.html
403,1/1/08,,NA,United States,US,Pennsylvania,4020,Level Green,0.03251,Above road,40.3916,-79.732,"(40.391599999999997, -79.731999999999999)",Landslide,Landslide,Small,Rain,,,,Pittsburgh Post-Gazette,http://www.post-gazette.com/pg/08003/846290-56.stm
414,1/6/08,,NA,United States,US,California,42808,La Jolla,8.13382,,32.8008,-117.207,"(32.800800000000002, -117.20699999999999)",Landslide,Landslide,Small,Rain,,,,,http://weblog.signonsandiego.com/news/breaking/2008/01/rain_causes_a_landslide_in_san.html
417,1/7/08,,NA,Mexico,MX,Baja California,1376457,Tijuana,12.53758,,32.5755,-116.9016,"(32.575499999999998, -116.9016)",Landslide,Landslide,Medium,Rain,,,1,,http://www.signonsandiego.com/news/mexico/tijuana/20080108-1858-bn08tj.html
418,1/7/08,,NA,United States,US,California,59518,Encinitas,3.23702,,33.0643,-117.3042,"(33.064300000000003, -117.30419999999999)",Landslide,Landslide,Medium,Rain,,,,,http://www.signonsandiego.com/news/metro/20080108-9999-1m8weather.html
436,1/28/08,19:30:00,NA,United States,US,California,42808,La Jolla,1.15586,,32.8464,-117.2619,"(32.846400000000003, -117.2619)",Landslide,Landslide,Medium,Rain,,,,,http://www.nbcsandiego.com/mostpopular/15160664/detail.html
446,2/5/08,,NA,United States,US,Pennsylvania,1728,Wickerham Manor-Fisher,1.09139,,40.1833,-79.8965,"(40.183300000000003, -79.896500000000003)",Landslide,Landslide,Medium,Rain,,,,,http://www.thepittsburghchannel.com/news/15240317/detail.html
449,2/9/08,,NA,United States,US,Pennsylvania,3451,Etna,1.23232,,40.4934,-79.9458,"(40.493400000000001, -79.945800000000006)",Landslide,Landslide,Small,Rain,,,,,http://www.wpxi.com/news/15262927/detail.html
468,2/28/08,,SA,Ecuador,EC,Napo,7309,Archidona,50.21741,,-0.4635,-77.8928,"(-0.46350000000000002, -77.892799999999994)",Landslide,Landslide,Medium,Rain,,,7,,http://english.aljazeera.net/NR/exeres/868843D7-B211-4DE5-AFBE-31C29CF79C5A.htm
469,3/4/08,,NA,United States,US,Pennsylvania,3165,Homestead,2.97055,,40.4278,-79.9321,"(40.427799999999998, -79.932100000000005)",Landslide,Landslide,Medium,Rain,,,0,,http://www.pittsburghlive.com/x/pittsburghtrib/news/cityregion/s_555576.html
472,3/5/08,,SA,Peru,PE,Huanuco,53177,Tingo María,17.34318,,-9.2114,-76.1311,"(-9.2113999999999994, -76.131100000000004)",Landslide,Landslide,Medium,Rain,,,7,,http://news.xinhuanet.com/english/2008-03/06/content_7727748.htm
476,3/9/08,,NA,United States,US,New York,2620,Green Island,4.36125,,42.7404,-73.6385,"(42.740400000000001, -73.638499999999993)",Landslide,Landslide,Small,Rain,,,0,,http://www.fox23news.com/news/local/story.aspx?content_id=6b16c1c8-1f16-48e4-a04a-7b8ba04d8f39
477,3/10/08,,NA,United States,US,Pennsylvania,3294,Pitcairn,0.36435,,40.4041,-79.7822,"(40.4041, -79.782200000000003)",Landslide,Landslide,Small,Rain,,,0,,http://www.thepittsburghchannel.com/news/15550468/detail.html
479,3/14/08,,NA,United States,US,Ohio,5091,Toronto,1.02992,,40.4634,-80.613,"(40.4634, -80.613)",Landslide,Mudslide,Small,Rain,,,,,http://www.wtov9.com/news/15606654/detail.html
480,3/16/08,,NA,United States,US,Ohio,4741,Mount Carmel,1.17753,,39.096,-84.2992,"(39.095999999999997, -84.299199999999999)",Landslide,Landslide,Small,Rain,,,0,,http://www.wlwt.com/news/15618502/detail.html
485,3/24/08,,NA,United States,US,Ohio,3541,Wellsville,7.05134,,40.5573,-80.707,"(40.557299999999998, -80.706999999999994)",Landslide,Landslide,Small,Rain,,,,,http://www.wtov9.com/news/15690351/detail.html
487,3/28/08,,NA,United States,US,Kentucky,4407,Ludlow,2.26622,,39.1072,-84.5657,"(39.107199999999999, -84.565700000000007)",Landslide,Landslide,Small,Rain,,,,,http://news.enquirer.com/apps/pbcs.dll/article?AID=/20080328/NEWS01/303280087
489,4/1/08,,SA,Ecuador,EC,Pichincha,1399814,Quito,1.56942,,-0.2196,-78.5347,"(-0.21959999999999999, -78.534700000000001)",Landslide,Landslide,Medium,Rain,,,,,http://www.plenglish.com/Article.asp?ID=%7B39BA85A0-5900-4A4A-A329-818B3FC61EA1%7D&language=EN
491,4/1/08,,NA,United States,US,Illinois,8465,Jerseyville,18.72748,,38.9716,-90.4312,"(38.971600000000002, -90.431200000000004)",Landslide,Landslide,Medium,Rain,,,,,http://www.etrucker.com/apps/news/article.asp?id=68018
494,4/8/08,,NA,United States,US,Pennsylvania,13470,Franklin Park,3.60364,,40.5531,-80.0726,"(40.553100000000001, -80.072599999999994)",Landslide,Landslide,Small,Rain,,,,,http://www.thepittsburghchannel.com/news/15837698/detail.html
497,4/11/08,,SA,Peru,PE,Ancash,5044,Carhuaz,2.43089,,-9.2965,-77.6613,"(-9.2965, -77.661299999999997)",Landslide,Landslide,Medium,Rain,,,,,http://news.xinhuanet.com/english/2008-04/14/content_7972049.htm
498,4/11/08,,NA,United States,US,Wisconsin,2200,Westby,0.62955,,43.6516,-90.857,"(43.651600000000002, -90.856999999999999)",Landslide,Landslide,Medium,Unknown,,,,,http://www.westbytimes.com/articles/2008/04/16/news/01story.txt
499,4/13/08,,NA,United States,US,Colorado,6447,Avon,3.03321,,39.625,-106.4879,"(39.625, -106.4879)",Landslide,Mudslide,Small,Rain,,,,,http://www.vaildaily.com/article/20080428/NEWS/280292121
501,4/16/08,,NA,Jamaica,JM,Saint Ann,9450,Ocho Rios,0.53886,,18.4054,-77.1007,"(18.4054, -77.100700000000003)",Landslide,Mudslide,Medium,Rain,,,,,http://www.nwa.gov.jm/content/newsread.aspx?newsId=268
506,4/20/08,,NA,Haiti,HT,Ouest,1234742,Port-au-Prince,1.80063,,18.5283,-72.3224,"(18.528300000000002, -72.322400000000002)",Landslide,Mudslide,Medium,Rain,,,3,,"http://www.news.com.au/heraldsun/story/0,21985,23596379-5005961,00.html"
509,4/25/08,,NA,United States,US,Minnesota,27592,Winona,1.7294,,44.0344,-91.6396,"(44.034399999999998, -91.639600000000002)",Landslide,Mudslide,Small,Rain,,,,,http://www.winonadailynews.com/articles/2008/04/26/news/04mud26.txt
514,4/29/08,,NA,United States,US,New Hampshire,1813,Newbury,0.08548,,43.3207,-72.0358,"(43.320700000000002, -72.035799999999995)",Landslide,Rockfall,Small,Rain,,,,,"http://www.unionleader.com/article.aspx?headline=Rockslide,+mudslide+close+sections+of+state+roads&articleId=1f07d044-00a9-48f0-a52c-2e5086228171"
515,4/29/08,,NA,United States,US,New Hampshire,1142,Whitefield,8.19938,,44.4175,-71.6923,"(44.417499999999997, -71.692300000000003)",Landslide,Mudslide,Small,Rain,,,,,"http://www.unionleader.com/article.aspx?headline=Rockslide,+mudslide+close+sections+of+state+roads&articleId=1f07d044-00a9-48f0-a52c-2e5086228171"
530,5/9/08,,NA,United States,US,Virginia,1698,Chatmoss,8.27691,,36.6619,-79.7199,"(36.661900000000003, -79.719899999999996)",Landslide,Mudslide,Small,Downpour,,,,,http://www.accuweather.com/news-top-headline.asp?partner=accuweather&traveler=0&date=2008-05-09_07:17&month=5&year=2008
532,5/12/08,,NA,United States,US,West Virginia,1638,Montgomery,7.85746,,38.1362,-81.2584,"(38.136200000000002, -81.258399999999995)",Landslide,Rockfall,Small,Rain,,,,,http://www.dailymail.com/policebrfs/200805130171
546,5/20/08,,NA,United States,US,Kentucky,5723,Fort Wright,0.90111,,39.0447,-84.5289,"(39.044699999999999, -84.528899999999993)",Landslide,Mudslide,Small,Rain,,,,,http://www.kypost.com/news/local/story.aspx?content_id=e4bc2ce5-40ee-4956-8c26-fdcda7fb53d9
555,5/28/08,,NA,United States,US,Colorado,6658,Aspen,20.14967,,39.3707,-106.7839,"(39.370699999999999, -106.7839)",Landslide,Mudslide,Small,Rain,,,,,http://www.aspentimes.com/article/20080529/NEWS/719766231/0/FRONTPAGE
